source_job_id,url,title_clean,normalized_title,role_family,reason
5783877004,https://job-boards.greenhouse.io/grafanalabs/jobs/5783877004,"Senior Product Marketing Manager | USA (EST, CST) | Remote",marketing_specialist,marketing,product_title_family_mismatch
5735539004,https://job-boards.greenhouse.io/grafanalabs/jobs/5735539004,Senior Salesforce CPQ Developer| United States |Remote,software_engineer,software_engineering,sales_title_family_mismatch
5802047004,https://job-boards.greenhouse.io/grafanalabs/jobs/5802047004,"Senior Software Engineer - Grafana Databases, Managed Services | Canada | Remote",software_engineer,software_engineering,data_title_family_mismatch
5802045004,https://job-boards.greenhouse.io/grafanalabs/jobs/5802045004,"Senior Software Engineer - Grafana Databases, Managed Services | USA | Remote",software_engineer,software_engineering,data_title_family_mismatch
5808863004,https://job-boards.greenhouse.io/grafanalabs/jobs/5808863004,"Senior Software Engineer - Grafana Databases, SRE | Germany | Remote",site_reliability_engineer,sre,data_title_family_mismatch
5808860004,https://job-boards.greenhouse.io/grafanalabs/jobs/5808860004,"Senior Software Engineer - Grafana Databases, SRE | Spain | Remote",site_reliability_engineer,sre,data_title_family_mismatch
5808861004,https://job-boards.greenhouse.io/grafanalabs/jobs/5808861004,"Senior Software Engineer - Grafana Databases, SRE | Sweden | Remote",site_reliability_engineer,sre,data_title_family_mismatch
5808862004,https://job-boards.greenhouse.io/grafanalabs/jobs/5808862004,"Senior Software Engineer - Grafana Databases, SRE | United Kingdom | Remote",site_reliability_engineer,sre,data_title_family_mismatch
5807088004,https://job-boards.greenhouse.io/grafanalabs/jobs/5807088004,Staff Backend Engineer - Databases Pyroscope | Canada | Remote,backend_engineer,backend,data_title_family_mismatch
5807096004,https://job-boards.greenhouse.io/grafanalabs/jobs/5807096004,Staff Backend Engineer - Databases Pyroscope | US | Remote,backend_engineer,backend,data_title_family_mismatch
5802016004,https://job-boards.greenhouse.io/grafanalabs/jobs/5802016004,"Staff Software Engineer - Grafana Databases, Managed Services | Canada | Remote",software_engineer,software_engineering,data_title_family_mismatch
5802014004,https://job-boards.greenhouse.io/grafanalabs/jobs/5802014004,"Staff Software Engineer - Grafana Databases, Managed Services | USA | Remote",software_engineer,software_engineering,data_title_family_mismatch
5811992004,https://job-boards.greenhouse.io/grafanalabs/jobs/5811992004,Strategic Finance & Analytics Manager | USA | Remote,financial_analyst,finance,data_title_family_mismatch
7601490003,https://job-boards.greenhouse.io/truebill/jobs/7601490003,"Senior Full Stack Engineer, Account Linking",fullstack_engineer,fullstack,sales_title_family_mismatch
7637297003,https://job-boards.greenhouse.io/truebill/jobs/7637297003,"Senior Full Stack Engineer, AI & Data Products",fullstack_engineer,fullstack,product_title_family_mismatch
